25.316337	6036.000000	0.314440	0.314440	3.574438
52.744586	12072.000000	0.323363	0.323363	3.471944
77.485688	18108.000000	0.326505	0.326505	3.437169
102.201300	24144.000000	0.330150	0.330150	3.455039
137.986793	30180.000000	0.333794	0.333794	3.492937
177.077382	36216.000000	0.333794	0.331783	3.551295
217.960715	42252.000000	0.333794	0.331281	3.569299
255.511121	48288.000000	0.334674	0.334674	3.611261
286.337160	54324.000000	0.334674	0.331658	3.635596
317.110499	60360.000000	0.334674	0.331532	3.651245
348.294050	66396.000000	0.334674	0.329270	3.659405
380.832283	72432.000000	0.334674	0.329396	3.666635
418.489273	78468.000000	0.334674	0.330652	3.671376
457.654908	84504.000000	0.334674	0.330275	3.677047
493.096960	90540.000000	0.334674	0.329647	3.679409
529.021802	96576.000000	0.334674	0.329647	3.680808
560.999589	102612.000000	0.334674	0.329898	3.681880
591.201317	108648.000000	0.334674	0.329773	3.683265
621.110628	114684.000000	0.334674	0.329773	3.684068
650.283306	120720.000000	0.334674	0.329647	3.684588
ground truth: Bob, predicted: He, number: 164\\
ground truth: She, predicted: He, number: 96\\
ground truth: Sue, predicted: He, number: 93\\
ground truth: had, predicted: was, number: 43\\
ground truth: his, predicted: the, number: 34\\
ground truth: and, predicted: ., number: 34\\
ground truth: to, predicted: ., number: 32\\
ground truth: decided, predicted: was, number: 32\\
ground truth: ., predicted: to, number: 29\\
ground truth: The, predicted: He, number: 28\\
ground truth: went, predicted: was, number: 25\\
ground truth: They, predicted: He, number: 25\\
ground truth: ., predicted: and, number: 24\\
ground truth: her, predicted: the, number: 23\\
ground truth: 's, predicted: was, number: 23\\
ground truth: the, predicted: a, number: 22\\
ground truth: didn, predicted: was, number: 21\\
ground truth: a, predicted: the, number: 20\\
ground truth: But, predicted: He, number: 19\\
ground truth: When, predicted: He, number: 19\\
